2025-09-15T14:30:32 ,            0.09s , rows:205, 2d, GV$LOG_HISTORY, ccn5zg17xrs68, 0, log_switch_frequency_for_instance_1, html , 00074_edb360_1a_6z_711081_2d_59_log_switch_frequency_for_instance_1.html
2025-09-15T14:30:32 ,            0.05s , rows:205, 2d, GV$LOG_HISTORY, ccn5zg17xrs68, -1, log_switch_frequency_for_instance_1, line , 00075_edb360_1a_6z_711081_2d_59_log_switch_frequency_for_instance_1_line_chart.html
2025-09-15T14:30:32 ,            0.01s , rows:47, 3a, DBA_RSRC_PLAN_DIRECTIVES, 5dt2rdb4mujrg, 0, resource_plan_directives, html , 00076_edb360_1a_6z_711081_3a_60_resource_plan_directives.html
2025-09-15T14:30:32 ,            0.03s , rows:11, 3a, DBA_RSRC_PLANS, 9nud4pfmb60bw, 0, resource_plans, html , 00077_edb360_1a_6z_711081_3a_61_resource_plans.html
2025-09-15T14:30:32 ,            0.01s , rows:0, 3a, DBA_CDB_RSRC_PLANS, 4rqmns843b39v, 0, resource_plans_for_pdbs, html , 00078_edb360_1a_6z_711081_3a_62_resource_plans_for_pdbs.html
2025-09-15T14:30:32 ,            0.02s , rows:0, 3a, DBA_HIST_RSRC_PLAN, ak9674nqnp5v2, 0, resource_plan_history, html , 00079_edb360_1a_6z_711081_3a_63_resource_plan_history.html
2025-09-15T14:30:33 ,            0.06s , rows:45, 3c, SYS.OPTSTAT_HIST_CONTROL$, gtqkfs07yp52q, 0, default_values_for_dbmsstats, html , 00080_edb360_1a_6z_711081_3c_64_default_values_for_dbmsstats.html
2025-09-15T14:30:35 ,            2.50s , rows:1, 3c, DBA_TAB_STATISTICS, 3kcbgvusmt3cf, 0, tables_with_missing_stats, html , 00081_edb360_1a_6z_711081_3c_65_tables_with_missing_stats.html
2025-09-15T14:30:37 ,            2.19s , rows:0, 3c, DBA_IND_STATISTICS, gbd1rtw0mzfr2, 0, indexes_with_missing_stats, html , 00082_edb360_1a_6z_711081_3c_66_indexes_with_missing_stats.html
2025-09-15T14:30:41 ,            3.07s , rows:48, 3c, DBA_TAB_STATISTICS, 8wxmrn8f5stvd, 0, tables_with_stale_stats, html , 00083_edb360_1a_6z_711081_3c_67_tables_with_stale_stats.html
2025-09-15T14:30:43 ,            2.36s , rows:51, 3c, DBA_IND_STATISTICS, 5rcwj2cyddk9p, 0, indexes_with_stale_stats, html , 00084_edb360_1a_6z_711081_3c_68_indexes_with_stale_stats.html
2025-09-15T14:30:43 ,            0.07s , rows:0, 3e, DBA_HIST_OSSTAT, 9gh9741zzq0nt, 0, cpu_busy_and_idle_times_percent_for_instance_1, html , 00085_edb360_1a_6z_711081_3e_69_cpu_busy_and_idle_times_percent_for_instance_1.html
2025-09-15T14:30:43 ,            0.07s , rows:0, 3e, DBA_HIST_OSSTAT, 9gh9741zzq0nt, -1, cpu_busy_and_idle_times_percent_for_instance_1, line , 00086_edb360_1a_6z_711081_3e_69_cpu_busy_and_idle_times_percent_for_instance_1_line_chart.html
2025-09-15T14:30:44 ,            0.06s , rows:0, 3e, DBA_HIST_OSSTAT, 6ah08r2j4jrj6, 0, cpu_user_and_sys_times_percent_for_instance_1, html , 00087_edb360_1a_6z_711081_3e_70_cpu_user_and_sys_times_percent_for_instance_1.html
2025-09-15T14:30:44 ,            0.07s , rows:0, 3e, DBA_HIST_OSSTAT, 6ah08r2j4jrj6, -1, cpu_user_and_sys_times_percent_for_instance_1, line , 00088_edb360_1a_6z_711081_3e_70_cpu_user_and_sys_times_percent_for_instance_1_line_chart.html
2025-09-15T14:30:44 ,            0.07s , rows:0, 3e, DBA_HIST_UNDOSTAT, 9mtush4t663mc, 0, undo_statistics_for_instance_1, html , 00089_edb360_1a_6z_711081_3e_71_undo_statistics_for_instance_1.html
2025-09-15T14:30:44 ,            0.07s , rows:0, 3e, DBA_HIST_UNDOSTAT, 9mtush4t663mc, -1, undo_statistics_for_instance_1, line , 00090_edb360_1a_6z_711081_3e_71_undo_statistics_for_instance_1_line_chart.html
2025-09-15T14:30:44 ,            0.06s , rows:0, 3e, DBA_HIST_LIBRARYCACHE, 37znf6xhtt8qf, 0, sql_area_statistics_for_instance_1, html , 00091_edb360_1a_6z_711081_3e_72_sql_area_statistics_for_instance_1.html
2025-09-15T14:30:44 ,            0.07s , rows:0, 3e, DBA_HIST_LIBRARYCACHE, 37znf6xhtt8qf, -1, sql_area_statistics_for_instance_1, line , 00092_edb360_1a_6z_711081_3e_72_sql_area_statistics_for_instance_1_line_chart.html
2025-09-15T14:30:44 ,            0.05s , rows:0, 3e, DBA_HIST_OSSTAT, bpg11pvcukf2r, 0, cpu_rsrc_mgr_wait_time_per_instance, html , 00093_edb360_1a_6z_711081_3e_73_cpu_rsrc_mgr_wait_time_per_instance.html
2025-09-15T14:30:44 ,            0.07s , rows:0, 3e, DBA_HIST_OSSTAT, bpg11pvcukf2r, -1, cpu_rsrc_mgr_wait_time_per_instance, line , 00094_edb360_1a_6z_711081_3e_73_cpu_rsrc_mgr_wait_time_per_instance_line_chart.html
